MANDT,QMNUM,QMART,QMTXT,ARTPR,PRIOK,ERNAM,ERDAT,AENAM,AEDAT,MZEIT,QMDAT,QMNAM,STRMN,STRUR,LTRMN,LTRUR,WAERS,AUFNR,VERID
800,000000000274,F2,,QM,,HUETT,31.07.2001,,00.00.0000,10:15:51,31.07.2001,HUETT,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000275,F2,,QM,,HUETT,31.07.2001,HUETT,31.07.2001,10:18:42,31.07.2001,HUETT,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000276,F2,,QM,,HUETT,31.07.2001,HUETT,31.07.2001,10:20:53,31.07.2001,HUETT,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000277,F2,Falschlieferung,QM,,HUETT,31.07.2001,KREYSCHER,06.08.2001,16:35:08,31.07.2001,HUETT,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000284,F2,Hardness exceeded specification,QM,4,D047552,19.09.2006,D047552,26.10.2006,13:50:37,19.09.2006,,27.10.2006,08:30:00,03.11.2006,08:30:00,,,
800,000000000285,F2,Electroplating defects,QM,3,D047552,19.09.2006,D047552,14.12.2006,14:01:20,19.09.2006,,26.10.2006,14:15:00,31.10.2006,14:15:00,,,
800,000000000286,F2,Nonconforming Thread length,QM,1,D047552,19.09.2006,D047552,26.10.2006,14:12:02,19.09.2006,,26.10.2006,09:03:13,27.10.2006,09:03:13,,,
800,000000000287,F2,Again nonconforming thread length,QM,2,D047552,19.09.2006,D047552,14.12.2006,14:25:47,19.09.2006,D047552,26.10.2006,14:29:26,30.10.2006,14:29:26,,,
800,000000000288,F2,Material falsch behandelt,QM,2,D047552,19.09.2006,D047552,26.10.2006,14:43:50,19.09.2006,D047552,19.10.2006,13:00:00,23.10.2006,13:00:00,,,
800,000000000289,F2,Keine sichtbaren Festigkeitsangaben,QM,3,D047552,19.09.2006,D047552,07.12.2006,14:50:18,19.09.2006,,16.10.2006,11:05:00,19.10.2006,11:05:00,,,
800,000000000290,F2,Zugversuch nicht bestanden,QM,3,D047552,19.09.2006,D047552,26.10.2006,14:56:47,19.09.2006,,26.10.2006,13:00:00,31.10.2006,13:00:00,,,
800,000000000291,F2,Galvanischer Überzug fehlerhaft,QM,3,D047552,19.09.2006,D047552,26.10.2006,15:00:22,19.09.2006,D047552,26.10.2006,13:45:00,31.10.2006,13:45:00,,,
800,000000000294,F2,,QM,,D047552,26.09.2006,D047552,12.10.2006,15:11:20,26.09.2006,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000295,F2,,QM,,D047552,26.09.2006,D047552,12.10.2006,15:23:25,26.09.2006,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000296,F2,,QM,,D047552,26.09.2006,D047552,12.10.2006,15:24:17,26.09.2006,D047552,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000304,F2,Schrauben mit falschen Maßen,QM,3,D047552,12.10.2006,D047552,12.10.2006,15:46:48,12.10.2006,,12.10.2006,15:46:48,17.10.2006,15:46:48,,,
800,000000000314,F2,Tension Test Failed,QM,2,D047552,19.10.2006,D047552,14.12.2006,13:14:39,19.10.2006,,19.10.2006,13:14:39,23.10.2006,13:14:39,,,
800,000000000315,F2,Identification not Compliant,QM,3,D047552,19.10.2006,D047552,14.12.2006,13:17:00,19.10.2006,,19.10.2006,13:17:00,24.10.2006,13:17:00,,,
800,000000000316,F2,Verdreckte Schrauben angeliefert,QM,4,D047552,19.10.2006,D047552,26.10.2006,13:19:22,19.10.2006,,20.10.2006,13:19:22,26.10.2006,13:19:22,,,
800,000000000324,F3,Faulty Display Panel,QM,2,I044129,26.03.2009,IPD_DES_ENGR,08.04.2009,12:44:59,26.03.2007,IPD_DES_ENGR,26.03.2009,12:44:59,30.03.2009,12:44:59,,,
800,000000000325,F2,,QM,2,I044129,26.03.2009,IPD_DES_ENGR,08.04.2009,13:21:46,26.03.2007,IPD_DES_ENGR,26.03.2009,13:21:46,30.03.2009,13:21:46,,,
800,000000000326,F2,Faulty Display Panel,QM,2,I044129,26.03.2009,IPD_DES_ENGR,08.04.2009,13:31:02,26.03.2007,IPD_DES_ENGR,26.03.2009,13:31:02,30.03.2009,13:31:02,,,
800,000000000327,F3,,QM,,D050200,27.03.2009,IPD_DES_ENGR,08.04.2009,14:04:46,27.10.2007,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000328,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,25.11.2008,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000329,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,22.12.2008,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000330,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,19.01.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000331,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,16.02.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000332,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,10.03.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000333,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,15.03.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000334,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,22.03.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000335,F3,,QM,,D050200,27.03.2009,,00.00.0000,14:04:46,23.03.2009,D050200,27.03.2009,14:04:46,00.00.0000,00:00:00,,,
800,000000000344,YS,,QM,,I044286,15.09.2009,,00.00.0000,11:22:12,15.09.2009,,15.09.2009,11:22:12,00.00.0000,00:00:00,,,
800,000000000345,YS,test,QM,2,I044286,15.09.2009,,00.00.0000,11:35:32,15.09.2009,,15.09.2009,11:35:32,17.09.2009,11:35:32,,,
800,000000000346,YS,rtrr,QM,3,I044286,15.09.2009,,00.00.0000,11:39:25,15.09.2009,,15.09.2009,11:39:25,18.09.2009,11:39:25,,,
800,000000000347,YS,sdwee,QM,3,I044286,15.09.2009,,00.00.0000,11:42:53,15.09.2009,,15.09.2009,11:42:53,18.09.2009,11:42:53,,,
800,000000000348,YS,sdwee,QM,3,I044286,15.09.2009,,00.00.0000,11:43:41,15.09.2009,,15.09.2009,11:43:41,18.09.2009,11:43:41,,,
800,000000000349,YS,rtrr,QM,3,I044286,15.09.2009,,00.00.0000,11:44:25,15.09.2009,,15.09.2009,11:44:25,18.09.2009,11:44:25,,,
800,000000000350,YS,test,QM,3,I044286,15.09.2009,,00.00.0000,11:45:10,15.09.2009,,15.09.2009,11:45:10,18.09.2009,11:45:10,,,
800,000000000351,YS,test,QM,3,I044286,15.09.2009,,00.00.0000,11:45:16,15.09.2009,,15.09.2009,11:45:16,18.09.2009,11:45:16,,,
800,000000000352,YS,test,QM,3,I044286,15.09.2009,,00.00.0000,11:45:56,15.09.2009,,15.09.2009,11:45:56,18.09.2009,11:45:56,,,
800,000000000353,YS,ID3 test,QM,2,I044286,15.09.2009,,00.00.0000,11:53:05,15.09.2009,,15.09.2009,11:53:05,17.09.2009,11:53:05,,,
800,000000000354,YS,ID3 test,QM,2,I044286,15.09.2009,I044286,15.09.2009,11:53:35,15.09.2009,,15.09.2009,11:53:35,17.09.2009,11:53:35,,,
800,000000000355,YS,sdwee,QM,3,I044286,15.09.2009,,00.00.0000,11:55:03,15.09.2009,,15.09.2009,11:55:03,18.09.2009,11:55:03,,,
800,000000000356,YS,sdwee,QM,3,I044286,15.09.2009,,00.00.0000,11:55:32,15.09.2009,,15.09.2009,11:55:32,18.09.2009,11:55:32,,,
800,000000000357,YS,123,QM,1,I044286,15.09.2009,,00.00.0000,12:26:34,15.09.2009,,15.09.2009,12:26:34,16.09.2009,12:26:34,,,
800,000000000358,F3,,QM,2,I044286,16.09.2009,I044286,16.09.2009,09:24:24,16.09.2009,,16.09.2009,10:11:40,18.09.2009,10:11:40,,,
800,000000000359,YS,TSR,QM,1,I044286,16.09.2009,,00.00.0000,14:00:30,16.09.2009,,16.09.2009,14:00:30,17.09.2009,14:00:30,,,
800,000000000360,YS,TSR,QM,1,I044286,16.09.2009,,00.00.0000,14:00:37,16.09.2009,,16.09.2009,14:00:37,17.09.2009,14:00:37,,,
800,000000000361,F3,,QM,,I044286,16.09.2009,I044286,17.09.2009,14:25:41,16.09.2009,,00.00.0000,00:00:00,00.00.0000,00:00:00,,,
800,000000000362,YS,Crack,QM,2,I044286,17.09.2009,,00.00.0000,15:27:42,17.09.2009,,17.09.2009,15:27:42,21.09.2009,15:27:42,,,
800,000000000364,YS,carl test,QM,2,I044286,25.09.2009,,00.00.0000,17:11:49,25.09.2009,,25.09.2009,17:11:49,27.09.2009,17:11:49,,,
800,000000000374,YS,QN test,QM,3,I044286,03.12.2009,,00.00.0000,04:22:28,03.12.2009,,03.12.2009,04:22:28,08.12.2009,04:22:28,,,
800,000000000375,YS,test,QM,1,I044286,03.12.2009,,00.00.0000,07:41:36,03.12.2009,,03.12.2009,07:41:36,04.12.2009,07:41:36,,,
800,000000000376,YS,test,QM,1,I044286,03.12.2009,,00.00.0000,07:43:07,03.12.2009,,03.12.2009,07:43:07,04.12.2009,07:43:07,,,
800,000000000384,F3,,QM,,I053956,14.10.2010,I053956,14.10.2010,14:04:46,25.03.2010,IPD_QA_ENGR,27.03.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000385,F3,,QM,,I053956,14.10.2010,I053956,14.10.2010,14:04:46,27.04.2010,IPD_QA_ENGR,27.04.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000386,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,28.05.2010,IPD_QA_ENGR,28.05.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000387,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,16.06.2010,IPD_QA_ENGR,16.06.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000388,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,12.07.2009,IPD_QA_ENGR,12.07.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000389,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,15.08.2010,IPD_QA_ENGR,15.08.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000390,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,09.09.2010,IPD_QA_ENGR,09.09.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000391,F3,,QM,,I053956,14.10.2010,,00.00.0000,14:04:46,10.10.2010,IPD_QA_ENGR,10.10.2010,14:04:46,00.00.0000,00:00:00,,,
800,000000000394,F3,,QM,,I053956,29.07.2011,I053956,29.07.2011,12:44:49,29.07.2011,,15.06.2011,12:44:49,00.00.0000,00:00:00,,,
800,000000000395,F3,,QM,,I053956,29.07.2011,,00.00.0000,12:51:10,29.07.2011,,06.07.2011,12:51:10,00.00.0000,00:00:00,,,
800,000000000396,F3,,QM,,I053956,29.07.2011,,00.00.0000,12:53:42,29.07.2011,,29.07.2011,12:53:42,00.00.0000,00:00:00,,,
800,000000000397,F3,,QM,,I053956,29.07.2011,,00.00.0000,12:55:02,29.07.2011,,01.08.2011,12:55:02,00.00.0000,00:00:00,,,
800,000000000404,F2,,QM,,D024180,30.09.2011,,00.00.0000,12:51:10,29.07.2011,,06.07.2011,12:51:10,00.00.0000,00:00:00,,,
800,000000000405,F2,,QM,,D024180,30.09.2011,D024180,30.09.2011,12:51:10,29.07.2011,,06.07.2011,12:51:10,00.00.0000,00:00:00,,,
800,000000000406,F2,,QM,,D024180,30.09.2011,D024180,30.09.2011,12:51:10,29.07.2011,,06.07.2011,12:51:10,00.00.0000,00:00:00,,,
800,000000000407,F3,,QM,,D024180,30.09.2011,D024180,30.09.2011,12:51:10,29.07.2011,,06.07.2011,12:51:10,00.00.0000,00:00:00,,,
800,000000000414,Q1,this must be checked,QM,,D058814,13.11.2012,D058814,13.11.2012,15:25:24,13.11.2012,,13.11.2012,15:25:24,00.00.0000,00:00:00,,,
800,000000000415,Q1,Problem mit Farbe,QM,,D058814,14.11.2012,,00.00.0000,16:40:08,12.11.2012,D058814,14.11.2012,09:47:23,00.00.0000,00:00:00,,,
800,000000000434,F3,P-103 have salse data,QM,3,CPF_PRODMGR,18.04.2013,CPF_PRODMGR,30.04.2013,03:43:12,18.04.2013,,18.04.2013,03:43:12,23.04.2013,03:43:12,,,
800,000000000444,F3,Issues with the MB01 Product,QM,3,CPF_PRODMGR,30.04.2013,CPF_PRODMGR,30.04.2013,02:50:22,30.04.2013,,30.04.2013,02:50:22,06.05.2013,02:50:22,,,
800,000000000445,F3,Issue with the sensor,QM,2,CPF_PRODMGR,30.04.2013,CPF_PRODMGR,30.04.2013,02:55:53,30.04.2013,,30.04.2013,02:55:53,03.05.2013,02:55:53,,,
800,000000000446,F3,Material Broken,QM,,CPF_PRODMGR,30.04.2013,CPF_PRODMGR,30.04.2013,03:14:36,30.04.2013,,30.04.2013,03:14:36,00.00.0000,00:00:00,,,
800,000000000447,F3,Unknown error,QM,2,CPF_PRODMGR,30.04.2013,CPF_PRODMGR,30.04.2013,03:16:57,30.04.2013,,30.04.2013,03:16:57,03.05.2013,03:16:57,,,
800,000000000448,F3,Material Broken,QM,2,CPF_PRODMGR,30.04.2013,CPF_PRODMGR,30.04.2013,03:18:57,30.04.2013,,30.04.2013,03:18:57,03.05.2013,03:18:57,,,
800,000000000454,F2,Problem with Quality,QM,2,CPF_PRODMGR,01.07.2013,,00.00.0000,21:37:26,30.06.2013,,30.06.2013,21:37:26,02.07.2013,21:37:26,,,
800,000000000455,F3,P-103 have false data,QM,3,CPF_PRODMGR,01.07.2013,,00.00.0000,21:56:26,30.06.2013,,30.06.2013,21:56:26,03.07.2013,21:56:26,,,
800,000000000456,F3,P-103 have false data,QM,3,CPF_PRODMGR,01.07.2013,,00.00.0000,22:15:01,30.06.2013,,01.07.2013,22:15:01,04.07.2013,22:15:01,,,
800,000000000457,F3,,QM,2,CPF_PRODMGR,01.07.2013,,00.00.0000,22:19:23,30.06.2013,,01.07.2013,22:19:23,03.07.2013,22:19:23,,,
800,000000000458,F3,,QM,2,CPF_PRODMGR,01.07.2013,,00.00.0000,23:33:57,30.06.2013,,01.07.2013,23:33:57,03.07.2013,23:33:57,,,
800,000000000464,F3,,QM,,I065658,03.02.2014,,00.00.0000,08:06:38,03.02.2014,,03.02.2014,08:06:38,00.00.0000,00:00:00,,,
800,000000000465,F3,,QM,,I065658,03.02.2014,,00.00.0000,08:34:32,03.02.2014,,03.02.2014,08:34:32,00.00.0000,00:00:00,,,
800,000000000474,F3,,QM,,I065658,13.02.2014,,00.00.0000,13:05:52,13.02.2014,,13.02.2014,13:05:52,00.00.0000,00:00:00,,,
800,000000000484,F2,Quality Notification created,QM,,C5162514,19.03.2014,I302690,25.03.2014,07:17:35,19.03.2014,,19.03.2014,07:17:35,00.00.0000,00:00:00,,,
800,000000000485,F2,,QM,,I302690,19.03.2014,I302690,25.03.2014,07:25:09,19.03.2014,,19.03.2014,07:25:09,00.00.0000,00:00:00,,,
800,000000000486,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,07:32:26,19.03.2014,,19.03.2014,07:32:26,00.00.0000,00:00:00,,,
800,000000000487,F2,,QM,,I302690,19.03.2014,I302690,25.03.2014,07:42:28,19.03.2014,,19.03.2014,07:42:28,00.00.0000,00:00:00,,,
800,000000000488,F2,,QM,,C5162514,19.03.2014,TABASCOT,19.03.2014,07:45:50,19.03.2014,,19.03.2014,07:45:50,00.00.0000,00:00:00,,,
800,000000000489,F2,,QM,,C5162514,19.03.2014,TABASCOT,12.04.2014,07:53:50,19.03.2014,,19.03.2014,07:53:50,00.00.0000,00:00:00,,,
800,000000000490,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,07:53:56,19.03.2014,,19.03.2014,07:53:56,00.00.0000,00:00:00,,,
800,000000000493,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,08:25:21,19.03.2014,,19.03.2014,08:25:21,00.00.0000,00:00:00,,,
800,000000000494,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,08:31:19,19.03.2014,,19.03.2014,08:31:19,00.00.0000,00:00:00,,,
800,000000000495,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,09:48:08,19.03.2014,,19.03.2014,09:48:08,00.00.0000,00:00:00,,,
800,000000000496,F2,,QM,,C5162514,19.03.2014,I302690,25.03.2014,09:59:37,19.03.2014,,19.03.2014,09:59:37,00.00.0000,00:00:00,,,
800,000000000504,F3,Problem Complaint from SAP ME,QM,2,XMII_RFC,24.03.2014,,00.00.0000,08:59:38,24.03.2014,DEYP,24.03.2014,10:01:06,26.03.2014,10:01:06,,,
800,000000000505,F3,Problem Complaint from SAP ME,QM,2,XMII_RFC,24.03.2014,,00.00.0000,09:21:21,24.03.2014,DEYP,24.03.2014,10:23:00,26.03.2014,10:23:00,,,
800,000000000506,F2,,QM,,I302690,25.03.2014,I302690,26.04.2014,18:39:02,25.03.2014,,25.03.2014,18:39:02,00.00.0000,00:00:00,,,
800,000000000507,F2,,QM,,I302690,26.03.2014,I302690,27.03.2014,18:52:30,26.03.2014,,26.03.2014,18:52:30,00.00.0000,00:00:00,,,
800,000000000514,F2,,QM,,I302690,26.04.2014,I302690,26.04.2014,17:56:29,26.04.2014,,26.04.2014,17:56:29,00.00.0000,00:00:00,,,
800,000000000515,F2,,QM,,I302690,26.04.2014,,00.00.0000,18:16:50,26.04.2014,,26.04.2014,18:16:50,00.00.0000,00:00:00,,,
800,000000000516,F2,,QM,,I302690,28.04.2014,,00.00.0000,12:06:04,28.04.2014,,28.04.2014,12:06:04,00.00.0000,00:00:00,,,
800,000000000524,F2,,QM,,I302690,08.05.2014,,00.00.0000,14:05:12,08.05.2014,,08.05.2014,14:05:12,00.00.0000,00:00:00,,,
800,000000000525,F2,,QM,,I302690,08.05.2014,,00.00.0000,14:13:56,08.05.2014,,08.05.2014,14:13:56,00.00.0000,00:00:00,,,
800,000000000526,F2,,QM,,I302690,08.05.2014,,00.00.0000,14:30:58,08.05.2014,,08.05.2014,14:30:58,00.00.0000,00:00:00,,,
800,000000000527,F2,,QM,,I302690,09.05.2014,,00.00.0000,11:58:52,09.05.2014,,09.05.2014,11:58:52,00.00.0000,00:00:00,,,
800,000000000528,F2,,QM,,I302690,09.05.2014,,00.00.0000,14:36:08,09.05.2014,,09.05.2014,14:36:08,00.00.0000,00:00:00,,,
800,000000000529,F2,,QM,,I302690,09.05.2014,,00.00.0000,14:39:54,09.05.2014,,09.05.2014,14:39:54,00.00.0000,00:00:00,,,
800,000000000534,Q2,,QM,,I302690,28.05.2014,,00.00.0000,17:43:04,28.05.2014,,28.05.2014,17:43:04,00.00.0000,00:00:00,,,
800,000000000535,F2,,QM,,I302690,28.05.2014,,00.00.0000,17:47:54,28.05.2014,,28.05.2014,17:47:54,00.00.0000,00:00:00,,,
800,000000000536,Q2,,QM,,I302690,28.05.2014,,00.00.0000,17:48:20,28.05.2014,,28.05.2014,17:48:20,00.00.0000,00:00:00,,,
800,000000000544,F3,,QM,,QM_TEST,13.06.2014,,00.00.0000,09:10:08,13.06.2014,,13.06.2014,09:10:08,00.00.0000,00:00:00,,,
