MANDT,QMNUM,QMART,QMTXT,ARTPR,ERNAM,ERDAT,AEDAT,MZEIT,QMDAT,STRMN,STRUR,LTRMN,LTRUR
800,000000000355,YS,SDWEE,QM,I044286,2009-09-15,NAT,11:55:03,2009-09-15,2009-09-15,11:55:03,2009-09-18,11:55:03
800,000000000356,YS,SDWEE,QM,I044286,2009-09-15,NAT,11:55:32,2009-09-15,2009-09-15,11:55:32,2009-09-18,11:55:32
800,000000000357,YS,123,QM,I044286,2009-09-15,NAT,12:26:34,2009-09-15,2009-09-15,12:26:34,2009-09-16,12:26:34
800,000000000358,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I044286,2009-09-16,2009-09-16,09:24:24,2009-09-16,2009-09-16,10:11:40,2009-09-18,10:11:40
800,000000000359,YS,TSR,QM,I044286,2009-09-16,NAT,14:00:30,2009-09-16,2009-09-16,14:00:30,2009-09-17,14:00:30
800,000000000360,YS,TSR,QM,I044286,2009-09-16,NAT,14:00:37,2009-09-16,2009-09-16,14:00:37,2009-09-17,14:00:37
800,000000000361,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I044286,2009-09-16,2009-09-17,14:25:41,2009-09-16,NAT,00:00:00,NAT,00:00:00
800,000000000362,YS,CRACK,QM,I044286,2009-09-17,NAT,15:27:42,2009-09-17,2009-09-17,15:27:42,2009-09-21,15:27:42
800,000000000364,YS,CARL TEST,QM,I044286,2009-09-25,NAT,17:11:49,2009-09-25,2009-09-25,17:11:49,2009-09-27,17:11:49
800,000000000374,YS,QN TEST,QM,I044286,2009-12-03,NAT,04:22:28,2009-12-03,2009-12-03,04:22:28,2009-12-08,04:22:28
800,000000000375,YS,TEST,QM,I044286,2009-12-03,NAT,07:41:36,2009-12-03,2009-12-03,07:41:36,2009-12-04,07:41:36
800,000000000376,YS,TEST,QM,I044286,2009-12-03,NAT,07:43:07,2009-12-03,2009-12-03,07:43:07,2009-12-04,07:43:07
800,000000000384,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,2010-10-14,14:04:46,2010-03-25,2010-03-27,14:04:46,NAT,00:00:00
800,000000000385,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,2010-10-14,14:04:46,2010-04-27,2010-04-27,14:04:46,NAT,00:00:00
800,000000000386,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2010-05-28,2010-05-28,14:04:46,NAT,00:00:00
800,000000000387,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2010-06-16,2010-06-16,14:04:46,NAT,00:00:00
800,000000000388,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2009-07-12,2010-07-12,14:04:46,NAT,00:00:00
800,000000000389,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2010-08-15,2010-08-15,14:04:46,NAT,00:00:00
800,000000000390,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2010-09-09,2010-09-09,14:04:46,NAT,00:00:00
800,000000000391,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2010-10-14,NAT,14:04:46,2010-10-10,2010-10-10,14:04:46,NAT,00:00:00
800,000000000394,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2011-07-29,2011-07-29,12:44:49,2011-07-29,2011-06-15,12:44:49,NAT,00:00:00
800,000000000395,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2011-07-29,NAT,12:51:10,2011-07-29,2011-07-06,12:51:10,NAT,00:00:00
800,000000000396,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2011-07-29,NAT,12:53:42,2011-07-29,2011-07-29,12:53:42,NAT,00:00:00
800,000000000397,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I053956,2011-07-29,NAT,12:55:02,2011-07-29,2011-08-01,12:55:02,NAT,00:00:00
800,000000000404,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D024180,2011-09-30,NAT,12:51:10,2011-07-29,2011-07-06,12:51:10,NAT,00:00:00
800,000000000405,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D024180,2011-09-30,2011-09-30,12:51:10,2011-07-29,2011-07-06,12:51:10,NAT,00:00:00
800,000000000406,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D024180,2011-09-30,2011-09-30,12:51:10,2011-07-29,2011-07-06,12:51:10,NAT,00:00:00
800,000000000407,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,D024180,2011-09-30,2011-09-30,12:51:10,2011-07-29,2011-07-06,12:51:10,NAT,00:00:00
800,000000000414,Q1,THIS MUST BE CHECKED,QM,D058814,2012-11-13,2012-11-13,15:25:24,2012-11-13,2012-11-13,15:25:24,NAT,00:00:00
800,000000000415,Q1,PROBLEM MIT FARBE,QM,D058814,2012-11-14,NAT,16:40:08,2012-11-12,2012-11-14,09:47:23,NAT,00:00:00
800,000000000434,F3,P-103 HAVE SALSE DATA,QM,CPF_PRODMGR,2013-04-18,2013-04-30,03:43:12,2013-04-18,2013-04-18,03:43:12,2013-04-23,03:43:12
800,000000000444,F3,ISSUES WITH THE MB01 PRODUCT,QM,CPF_PRODMGR,2013-04-30,2013-04-30,02:50:22,2013-04-30,2013-04-30,02:50:22,2013-05-06,02:50:22
800,000000000445,F3,ISSUE WITH THE SENSOR,QM,CPF_PRODMGR,2013-04-30,2013-04-30,02:55:53,2013-04-30,2013-04-30,02:55:53,2013-05-03,02:55:53
800,000000000446,F3,MATERIAL BROKEN,QM,CPF_PRODMGR,2013-04-30,2013-04-30,03:14:36,2013-04-30,2013-04-30,03:14:36,NAT,00:00:00
800,000000000447,F3,UNKNOWN ERROR,QM,CPF_PRODMGR,2013-04-30,2013-04-30,03:16:57,2013-04-30,2013-04-30,03:16:57,2013-05-03,03:16:57
800,000000000448,F3,MATERIAL BROKEN,QM,CPF_PRODMGR,2013-04-30,2013-04-30,03:18:57,2013-04-30,2013-04-30,03:18:57,2013-05-03,03:18:57
800,000000000454,F2,PROBLEM WITH QUALITY,QM,CPF_PRODMGR,2013-07-01,NAT,21:37:26,2013-06-30,2013-06-30,21:37:26,2013-07-02,21:37:26
800,000000000455,F3,P-103 HAVE FALSE DATA,QM,CPF_PRODMGR,2013-07-01,NAT,21:56:26,2013-06-30,2013-06-30,21:56:26,2013-07-03,21:56:26
800,000000000456,F3,P-103 HAVE FALSE DATA,QM,CPF_PRODMGR,2013-07-01,NAT,22:15:01,2013-06-30,2013-07-01,22:15:01,2013-07-04,22:15:01
800,000000000457,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,CPF_PRODMGR,2013-07-01,NAT,22:19:23,2013-06-30,2013-07-01,22:19:23,2013-07-03,22:19:23
800,000000000458,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,CPF_PRODMGR,2013-07-01,NAT,23:33:57,2013-06-30,2013-07-01,23:33:57,2013-07-03,23:33:57
800,000000000464,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I065658,2014-02-03,NAT,08:06:38,2014-02-03,2014-02-03,08:06:38,NAT,00:00:00
800,000000000465,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I065658,2014-02-03,NAT,08:34:32,2014-02-03,2014-02-03,08:34:32,NAT,00:00:00
800,000000000474,F3,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I065658,2014-02-13,NAT,13:05:52,2014-02-13,2014-02-13,13:05:52,NAT,00:00:00
800,000000000484,F2,QUALITY NOTIFICATION CREATED,QM,C5162514,2014-03-19,2014-03-25,07:17:35,2014-03-19,2014-03-19,07:17:35,NAT,00:00:00
800,000000000485,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-03-19,2014-03-25,07:25:09,2014-03-19,2014-03-19,07:25:09,NAT,00:00:00
800,000000000486,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,07:32:26,2014-03-19,2014-03-19,07:32:26,NAT,00:00:00
800,000000000487,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-03-19,2014-03-25,07:42:28,2014-03-19,2014-03-19,07:42:28,NAT,00:00:00
800,000000000488,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-19,07:45:50,2014-03-19,2014-03-19,07:45:50,NAT,00:00:00
800,000000000489,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-04-12,07:53:50,2014-03-19,2014-03-19,07:53:50,NAT,00:00:00
800,000000000490,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,07:53:56,2014-03-19,2014-03-19,07:53:56,NAT,00:00:00
800,000000000493,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,08:25:21,2014-03-19,2014-03-19,08:25:21,NAT,00:00:00
800,000000000494,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,08:31:19,2014-03-19,2014-03-19,08:31:19,NAT,00:00:00
800,000000000495,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,09:48:08,2014-03-19,2014-03-19,09:48:08,NAT,00:00:00
800,000000000496,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,C5162514,2014-03-19,2014-03-25,09:59:37,2014-03-19,2014-03-19,09:59:37,NAT,00:00:00
800,000000000504,F3,PROBLEM COMPLAINT FROM SAP ME,QM,XMII_RFC,2014-03-24,NAT,08:59:38,2014-03-24,2014-03-24,10:01:06,2014-03-26,10:01:06
800,000000000505,F3,PROBLEM COMPLAINT FROM SAP ME,QM,XMII_RFC,2014-03-24,NAT,09:21:21,2014-03-24,2014-03-24,10:23:00,2014-03-26,10:23:00
800,000000000506,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-03-25,2014-04-26,18:39:02,2014-03-25,2014-03-25,18:39:02,NAT,00:00:00
800,000000000507,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-03-26,2014-03-27,18:52:30,2014-03-26,2014-03-26,18:52:30,NAT,00:00:00
800,000000000514,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-04-26,2014-04-26,17:56:29,2014-04-26,2014-04-26,17:56:29,NAT,00:00:00
800,000000000515,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-04-26,NAT,18:16:50,2014-04-26,2014-04-26,18:16:50,NAT,00:00:00
800,000000000516,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-04-28,NAT,12:06:04,2014-04-28,2014-04-28,12:06:04,NAT,00:00:00
800,000000000524,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-05-08,NAT,14:05:12,2014-05-08,2014-05-08,14:05:12,NAT,00:00:00
800,000000000525,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-05-08,NAT,14:13:56,2014-05-08,2014-05-08,14:13:56,NAT,00:00:00
800,000000000526,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-05-08,NAT,14:30:58,2014-05-08,2014-05-08,14:30:58,NAT,00:00:00
800,000000000527,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-05-09,NAT,11:58:52,2014-05-09,2014-05-09,11:58:52,NAT,00:00:00
800,000000000528,F2,ZÄHLERSTANDSABH. WP PUMPENBLOCK 2,QM,I302690,2014-05-09,NAT,14:36:08,2014-05-09,2014-05-09,14:36:08,NAT,00:00:00
